"symbol","exchange","sector","industry"
"HDFCBANK","NSE","Financial Services","Financial Services"
"HDFCLIFE","NSE","Financial Services","Financial Services"
"HFCL","NSE","Telecommunication","Telecommunication"
"HAVELLS","NSE","Consumer Durables","Consumer Durables"
"HEROMOTOCO","NSE","Automobile and Auto Components","Automobile and Auto Components"
"HEXT","NSE","Information Technology","Information Technology"
"HSCL","NSE","Chemicals","Chemicals"
"HINDALCO","NSE","Metals & Mining","Metals & Mining"
"HAL","NSE","Capital Goods","Capital Goods"
"HINDCOPPER","NSE","Metals & Mining","Metals & Mining"
"HINDPETRO","NSE","Oil Gas & Consumable Fuels","Oil Gas & Consumable Fuels"
"HINDUNILVR","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"HINDZINC","NSE","Metals & Mining","Metals & Mining"
"POWERINDIA","NSE","Capital Goods","Capital Goods"
"HOMEFIRST","NSE","Financial Services","Financial Services"
"HONASA","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"HONAUT","NSE","Capital Goods","Capital Goods"
"HUDCO","NSE","Financial Services","Financial Services"
"HYUNDAI","NSE","Automobile and Auto Components","Automobile and Auto Components"
"ICICIBANK","NSE","Financial Services","Financial Services"
"ICICIGI","NSE","Financial Services","Financial Services"
"ICICIAMC","NSE","Financial Services","Financial Services"
"ICICIPRULI","NSE","Financial Services","Financial Services"
"IDBI","NSE","Financial Services","Financial Services"
"IDFCFIRSTB","NSE","Financial Services","Financial Services"
"IFCI","NSE","Financial Services","Financial Services"
"IIFL","NSE","Financial Services","Financial Services"
"IRB","NSE","Construction","Construction"
"IRCON","NSE","Construction","Construction"
"ITCHOTELS","NSE","Consumer Services","Consumer Services"
"ITC","NSE","Fast Moving Consumer Goods","Fast Moving Consumer Goods"
"ITI","NSE","Telecommunication","Telecommunication"
"INDGN","NSE","Healthcare","Healthcare"
"INDIACEM","NSE","Construction Materials","Construction Materials"
"INDIAMART","NSE","Consumer Services","Consumer Services"
"INDIANB","NSE","Financial Services","Financial Services"
"IEX","NSE","Financial Services","Financial Services"
"INDHOTEL","NSE","Consumer Services","Consumer Services"
